338	2	5
569	2	5
109	3	4
284	3	4
279	4	5
619	5	3
569	9	5
566	11	3
608	11	5
853	11	4
24	12	4
771	14	3
955	15	3
86	20	3
190	20	1
358	20	3
539	20	4
579	20	3
12	21	3
32	21	4
58	21	4
68	21	4
93	21	5
115	21	5
123	21	4
258	21	3
354	21	4
355	21	4
415	21	3
421	21	3
501	21	4
669	21	3
771	21	4
813	21	4
880	21	3
954	21	2
20	31	1
811	31	3
954	31	4
374	32	4
386	32	3
720	32	3
755	32	3
453	36	3
750	38	3
20	39	4
70	39	5
123	39	4
153	39	5
186	39	4
204	39	5
245	39	5
284	39	5
306	39	5
352	39	5
367	39	5
415	39	3
418	39	4
474	39	5
476	39	5
477	39	5
507	39	4
527	39	5
537	39	5
539	39	5
553	39	4
616	39	5
650	39	4
804	39	5
868	39	5
886	39	4
948	39	3
955	39	4
996	39	5
558	42	3
12	43	3
225	43	4
489	43	3
667	43	3
828	43	3
843	43	4
896	43	3
955	43	2
24	46	4
416	46	3
599	46	4
933	46	4
998	46	4
955	48	3
51	49	5
750	50	4
37	53	3
113	53	2
282	53	5
701	53	4
970	53	2
95	60	2
255	63	4
897	63	3
383	69	4
63	70	4
335	70	5
591	70	4
938	70	4
44	71	3
49	71	5
225	71	4
255	71	4
305	71	5
355	71	4
616	71	5
720	71	5
878	71	4
903	71	5
931	71	5
968	71	4
24	72	5
10	75	2
861	75	3
20	76	4
341	76	5
421	76	4
113	78	1
111	80	5
186	80	4
201	80	5
252	80	4
261	80	4
374	80	3
421	80	3
489	80	5
626	80	5
727	80	4
951	82	3
775	85	3
113	87	2
367	87	2
561	87	3
996	87	2
539	88	3
63	91	4
938	91	3
32	97	3
93	97	4
111	97	5
210	97	5
255	97	4
301	97	3
355	97	4
415	97	4
420	97	5
513	97	4
572	97	4
37	98	4
489	98	3
853	98	3
916	98	4
588	99	1
591	100	3
20	101	3
418	101	2
420	101	3
12	104	3
82	104	5
135	104	3
181	104	3
228	104	3
243	104	2
339	104	3
343	104	2
381	104	3
418	104	3
737	104	2
882	104	5
49	105	5
63	105	4
68	105	4
335	105	5
382	105	4
591	105	4
916	105	5
926	105	4
938	105	4
113	106	3
119	106	3
284	106	2
496	106	3
507	106	3
588	106	2
616	106	2
641	106	2
542	107	3
861	107	4
861	108	4
20	111	3
37	111	4
104	111	3
177	111	5
225	111	3
335	111	4
453	111	2
667	111	4
998	111	3
933	112	3
225	114	2
453	114	2
24	115	5
482	115	4
511	115	3
95	116	3
199	116	2
335	116	4
591	116	3
938	116	4
49	117	5
63	117	4
335	117	5
511	117	3
563	117	3
591	117	4
8	119	3
70	120	2
63	124	3
335	124	5
511	124	2
591	124	3
70	126	3
608	126	5
20	128	2
203	128	3
258	128	2
313	128	3
420	128	1
736	128	3
95	129	3
335	129	5
24	131	5
933	131	5
811	134	5
955	134	4
113	138	4
119	138	4
608	138	5
853	140	4
93	141	5
358	141	4
878	141	4
902	142	4
12	144	2
228	144	2
261	144	1
456	144	3
897	144	3
917	144	3
335	146	4
20	152	2
811	152	3
886	152	4
954	152	4
20	153	2
803	153	5
811	153	3
886	153	5
954	153	4
52	154	5
414	154	5
558	154	3
608	154	5
723	154	5
12	156	2
68	156	1
79	156	2
119	156	3
274	156	3
539	156	1
740	156	2
104	157	4
485	157	5
499	157	4
558	159	3
558	160	4
68	161	4
335	161	3
667	161	3
542	165	4
955	165	3
113	169	2
420	169	2
119	170	4
507	170	3
784	170	3
24	171	4
775	173	5
63	175	5
37	180	3
49	180	5
59	180	4
104	180	5
216	180	5
225	180	5
255	180	4
308	180	5
335	180	4
355	180	4
